horse_id,sire,sire_id,dam,dam_id,damsire,damsire_id
2018100722,ルーラーシップ,2007103143,トランプクイーン,2010104243,ネオユニヴァース,2000101426
2018100736,モーリス,2011100655,ヤマノフェアリー,2011104048,ディープインパクト,2002100816
2018100752,エイシンフラッシュ,2007102951,サトノサンシャイン,2013105573,ステイゴールド,1994108729
2018100756,ゴールドシップ,2009102739,スズノネイロ,2010106274,デュランダル,1999106756
2018100763,フェノーメノ,2009106599,トリアンドルス,2012105900,マツリダゴッホ,2003104570
2018100772,バトルプラン Battle Plan(米),000a0118e8,ルシアンネイル,2012103643,タニノギムレット,1999100226
2018100773,ハーツクライ,2001103038,レディーガリレオ,2013110006,Galileo (愛),000a00232b
2018100821,タイセイレジェンド,2007103199,ベネフィット,2011100608,マンハッタンカフェ,1998101554
2018100827,ジャングルポケット,1998101786,ショウナンラノビア,2003102874,フレンチデピュティ French Deputy(米),000a00013a
2018100829,ミッキーアイル,2011103916,ダイアナバローズ,2006103964,シンボリクリスエス,1999110099
2018100830,マジェスティックウォリアー Majestic Warrior(米),000a011e9c,ダイシンキャンディ,2009106529,アグネスタキオン,1998101516
2018100858,メイショウボーラー,2001100650,ピンクトルマリン,2006110137,Fusaichi Pegasus,000a0022cf
2018100886,ヘニーヒューズ Henny Hughes(米),000a011155,アイアムネオ,2006102889,ネオユニヴァース,2000101426
2018100895,パイロ Pyro(米),000a01176a,サクセスウイッチ,2000104885,ブライアンズタイム Brian's Time(米),000a000082
2018100903,ダンカーク Dunkirk(米),000a012185,リクエストアワー,2011104346,ネオユニヴァース,2000101426
2018100916,エスポワールシチー,2005102837,ビアンコ,2000102652,ウォーニング Warning(英),000a000843
2018100923,Uncle Mo (米),000a011ffb,イースターアイランド Easter Island(米),000a013e18,Giant's Causeway (米),000a0022e1
2018100953,シングンオペラ,1998105609,エフロレス,2006102781,キングカメハメハ,2001103460
2018100961,キズナ,2010105827,フリーバード,2000105691,アフリート Afleet(加),000a000013
2018100967,リオンディーズ,2013105915,ロトクルーザー,2012101831,クロフネ,1998110135
2018100976,オンファイア,2003102809,デルマトモエゴゼン,2013105482,キングカメハメハ,2001103460
2018100991,リオンディーズ,2013105915,グッドファイト,2006105118,チーフベアハート Chief Bearhart(加),1993190010
2018100994,ドゥラメンテ,2012104511,チェストケリリー,2013110099,Scat Daddy (米),000a0114fe
2018100995,ゴールドシップ,2009102739,ハピネスフォーユー,2005110200,A.P. Indy,000a001d37
2018101010,ノヴェリスト Novellist(愛),000a012230,カネツスペシャル,2011100163,スペシャルウィーク,1995103211
2018101012,アスカクリチャン,2007104599,クリノクレオパトラ,2011104761,ロージズインメイ Roses in May(米),000a010a10
2018101032,マツリダゴッホ,2003104570,プレトリアン,2007106059,キングヘイロー,1995104427
2018101071,ヴィクトワールピサ,2007102923,ハイタッチクイーン,2007106112,キングヘイロー,1995104427
2018101075,グランプリボス,2008103388,モズアリュール,2012101979,ゴールドアリュール,1999106689
2018101087,タートルボウル Turtle Bowl(愛),000a012045,ブライトエルフ,2009103059,ブライアンズタイム Brian's Time(米),000a000082
2018101134,ミッキーアイル,2011103916,ザッハトルテ,2007106175,クロフネ,1998110135
2018101145,アジアエクスプレス,2011110091,バトルアンコール,2010106247,フジキセキ,1992109618
2018101166,マジェスティックウォリアー Majestic Warrior(米),000a011e9c,サイモンガーランド,2009103158,ロージズインメイ Roses in May(米),000a010a10
2018101175,ケープブランコ Cape Blanco(英),000a011b06,テーオーヴィーナス,2009103146,ディープインパクト,2002100816
2018101178,ダイワメジャー,2001103114,テーオールネサンス,2007106698,クロフネ,1998110135
2018101198,タートルボウル Turtle Bowl(愛),000a012045,ハートノイヤリング,2008102854,ハーツクライ,2001103038
2018101214,モンテロッソ Monterosso(英),000a011b05,ドレスアップ,2012100952,スウェプトオーヴァーボード Swept Overboard(米),000a00fa34
2018101215,アスカクリチャン,2007104599,マヤノプレム,2004105224,タイキシャトル,1994109686
2018101232,パドトロワ,2007102760,ゴールドピアース,2006100862,ゴールドアリュール,1999106689
2018101240,ヴィットリオドーロ,2009110009,ユニヴァースパール,2012104132,ネオユニヴァース,2000101426
2018101243,サウスヴィグラス,1996110138,グレイスフルアート,2012104531,ダイワメジャー,2001103114
2018101255,リオンディーズ,2013105915,エアジュプロンサ,2008103325,ハーツクライ,2001103038
2018101267,アジアエクスプレス,2011110091,アナコンダ,2009102035,フサイチコンコルド,1993109220
2018101299,キングカメハメハ,2001103460,マルトク,2001107831,マーベラスサンデー,1992103687
2018101300,ドゥラメンテ,2012104511,ラッキーレディ,2010104688,ネオユニヴァース,2000101426
2018101337,エイシンフラッシュ,2007102951,ヒミノプリンセス,2005104548,マンハッタンカフェ,1998101554
2018101343,ラブリーデイ,2010104298,エンドレスノット,2009106084,ディープインパクト,2002100816
2018101348,トーセンジョーダン,2006103169,グレイシアブルー,2002100942,サンデーサイレンス Sunday Silence(米),000a00033a
2018101370,パイロ Pyro(米),000a01176a,マーキークラブ,2013106028,クロフネ,1998110135
2018101371,ロードカナロア,2008103552,ヤマトマリオン,2003104871,オペラハウス Opera House(英),000a000d77
2018101379,ヘニーハウンド,2008110097,トウカイセレッソ,2009104929,キングカメハメハ,2001103460
2018101455,リオンディーズ,2013105915,モンテドーター,2003109309,ブライアンズタイム Brian's Time(米),000a000082
2018101462,トゥザワールド,2011103975,ハルトリーゲル,2009104457,ファスリエフ Fasliyev(米),000a00fc4c
2018101497,シニスターミニスター Sinister Minister(米),000a011099,ブラックシュガー,2012100093,ブラックタイド,2001103312
2018101514,カレンブラックヒル,2009106230,ダームドゥラック,2009101577,シンボリクリスエス,1999110099
2018101516,シニスターミニスター Sinister Minister(米),000a011099,ハマナス,2013100299,キングカメハメハ,2001103460
2018101562,ハービンジャー Harbinger(英),000a011996,カフジビーナス,2013101381,ディープインパクト,2002100816
